epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3241,2.14097,5.11106,1.65417,0.00457,0.24101,0.01683,0.00465,1.81099,4.14886,1.28052,0.00020677,0.00020677,0.00020677
2,15.4156,1.75477,4.3811,1.30306,0.00577,0.25198,0.06085,0.02242,1.97117,3.89233,1.29197,0.000419517,0.000419517,0.000419517
3,20.3636,1.65144,3.67865,1.24972,0.7689,0.18492,0.23629,0.12858,1.70909,2.89581,1.31821,0.000631559,0.000631559,0.000631559
4,25.1996,1.62442,3.09799,1.25232,0.77275,0.27116,0.3152,0.18914,1.61494,2.36796,1.35429,0.000663698,0.000663698,0.000663698
5,30.0582,1.5301,2.806,1.22215,0.61163,0.45059,0.47379,0.26954,1.6051,1.97931,1.36126,0.000662598,0.000662598,0.000662598
6,34.952,1.50452,2.52024,1.20182,0.74051,0.43986,0.51479,0.31118,1.4677,1.76119,1.28329,0.000661497,0.000661497,0.000661497
7,39.8572,1.43247,2.32079,1.19314,0.72688,0.53366,0.58192,0.35854,1.53194,1.5025,1.3024,0.000660397,0.000660397,0.000660397
8,44.7935,1.3931,2.09766,1.14722,0.7219,0.57619,0.6283,0.41728,1.45421,1.52282,1.27641,0.000659296,0.000659296,0.000659296
9,49.7321,1.32747,2.02848,1.12711,0.78443,0.53963,0.59694,0.38762,1.41716,1.5994,1.24222,0.000658196,0.000658196,0.000658196
10,54.5464,1.29889,1.80354,1.10677,0.91784,0.47713,0.70219,0.45836,1.41993,1.23728,1.24081,0.000657095,0.000657095,0.000657095
11,59.3612,1.26576,1.80256,1.12165,0.80841,0.58823,0.68287,0.4383,1.42711,1.20443,1.30711,0.000655994,0.000655994,0.000655994
12,64.2054,1.24267,1.61405,1.09664,0.87274,0.6266,0.71105,0.46426,1.34715,1.24161,1.23473,0.000654894,0.000654894,0.000654894
13,69.1449,1.25077,1.58658,1.11409,0.87754,0.51501,0.64999,0.41654,1.51616,1.40832,1.33289,0.000653793,0.000653793,0.000653793
14,73.8984,1.23931,1.61308,1.09772,0.88168,0.63463,0.73798,0.4915,1.29005,1.18662,1.19232,0.000652693,0.000652693,0.000652693
15,78.654,1.18313,1.44136,1.08109,0.86208,0.66942,0.73202,0.48067,1.32238,1.15316,1.23378,0.000651592,0.000651592,0.000651592
16,83.4585,1.15373,1.37824,1.05714,0.84108,0.66705,0.76072,0.51758,1.30878,1.09534,1.1977,0.000650492,0.000650492,0.000650492
17,88.2314,1.18464,1.37259,1.07047,0.81127,0.62554,0.72762,0.49247,1.27817,1.14782,1.21421,0.000649391,0.000649391,0.000649391
18,92.9673,1.12483,1.31881,1.06478,0.91882,0.63835,0.73704,0.50935,1.28682,1.15149,1.20098,0.000648291,0.000648291,0.000648291
