epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7134,2.06298,6.88607,1.63371,0.11469,0.16803,0.1027,0.05779,1.77445,7.6563,1.45294,0.00020677,0.00020677,0.00020677
2,19.1652,1.57456,3.18661,1.27227,0.3899,0.45698,0.44111,0.27622,1.52298,4.36832,1.34849,0.000419517,0.000419517,0.000419517
3,26.5078,1.42131,2.15626,1.22712,0.65582,0.48185,0.59108,0.37702,1.41232,1.64673,1.29565,0.000631559,0.000631559,0.000631559
4,33.4831,1.34735,1.62441,1.20477,0.84322,0.56844,0.68023,0.42423,1.38731,1.47491,1.33282,0.000663698,0.000663698,0.000663698
5,40.4907,1.30022,1.3834,1.18208,0.83491,0.67321,0.73295,0.47629,1.44502,1.15341,1.35574,0.000662598,0.000662598,0.000662598
6,47.4789,1.30458,1.26782,1.18155,0.90487,0.63064,0.72875,0.47869,1.36432,1.07793,1.29141,0.000661497,0.000661497,0.000661497
7,54.4846,1.266,1.16753,1.1851,0.8821,0.70187,0.76991,0.50173,1.37171,1.076,1.34986,0.000660397,0.000660397,0.000660397
8,61.5465,1.18574,1.06374,1.11773,0.90929,0.75315,0.79812,0.52014,1.39194,0.83792,1.36424,0.000659296,0.000659296,0.000659296
9,68.5903,1.18235,1.03821,1.12866,0.94151,0.67438,0.76185,0.49634,1.30392,0.92434,1.28435,0.000658196,0.000658196,0.000658196
10,75.4772,1.15175,0.97258,1.10236,0.8553,0.70927,0.76815,0.50565,1.37685,0.89677,1.29917,0.000657095,0.000657095,0.000657095
11,82.3652,1.12619,0.98949,1.12185,0.93394,0.72425,0.89322,0.54109,1.34821,0.88309,1.30645,0.000655994,0.000655994,0.000655994
12,89.659,1.11574,0.89217,1.10361,0.87604,0.75901,0.78762,0.52244,1.29618,0.82587,1.2853,0.000654894,0.000654894,0.000654894
13,97.5751,1.10623,0.86909,1.09415,0.89169,0.67899,0.79024,0.5264,1.35159,0.84199,1.30388,0.000653793,0.000653793,0.000653793
14,105.505,1.09206,0.87715,1.07852,0.72792,0.63799,0.72474,0.48445,1.3938,1.02079,1.30243,0.000652693,0.000652693,0.000652693
15,113.444,1.03749,0.81488,1.05765,0.92935,0.77491,0.81865,0.56026,1.24021,0.76757,1.23374,0.000651592,0.000651592,0.000651592
16,121.507,1.03449,0.80386,1.04669,0.95213,0.7189,0.78549,0.55127,1.24779,0.85912,1.30969,0.000650492,0.000650492,0.000650492
17,129.52,1.01515,0.81955,1.05231,0.94755,0.76277,0.82774,0.55464,1.30918,0.80584,1.30343,0.000649391,0.000649391,0.000649391
18,137.423,1.02864,0.80327,1.06815,0.92274,0.76176,0.82707,0.57394,1.25217,0.75733,1.29125,0.000648291,0.000648291,0.000648291
19,145.686,0.97367,0.75546,1.02571,0.89178,0.79204,0.78985,0.56383,1.19737,0.73974,1.27328,0.00064719,0.00064719,0.00064719
20,153.694,0.93941,0.72457,1.01411,0.88464,0.78721,0.86762,0.59528,1.20255,0.75052,1.28211,0.00064609,0.00064609,0.00064609
21,161.601,0.93005,0.70566,1.01258,0.89526,0.78648,0.85796,0.57874,1.25439,0.78055,1.31656,0.000644989,0.000644989,0.000644989
22,169.531,0.92985,0.71009,0.9982,0.93818,0.73497,0.88108,0.59549,1.29493,0.81996,1.39886,0.000643888,0.000643888,0.000643888
23,177.652,0.93117,0.71353,1.03279,0.90845,0.68114,0.77632,0.54026,1.2912,0.85246,1.31013,0.000642788,0.000642788,0.000642788
24,185.629,0.94092,0.686,1.02144,0.9459,0.728,0.83265,0.58442,1.27847,0.82156,1.30321,0.000641687,0.000641687,0.000641687
25,193.662,0.96673,0.72135,1.03416,0.91055,0.75112,0.84561,0.56179,1.33495,0.76872,1.31373,0.000640587,0.000640587,0.000640587
26,201.777,0.91265,0.69265,1.00999,0.77764,0.7901,0.84377,0.56237,1.23319,0.81656,1.2859,0.000639486,0.000639486,0.000639486
27,209.82,0.86588,0.6287,0.99355,0.85946,0.85823,0.88741,0.65186,1.17838,0.88188,1.21582,0.000638386,0.000638386,0.000638386
28,218.298,0.88302,0.67105,0.99282,0.74197,0.7914,0.80772,0.58065,1.1843,0.82513,1.25137,0.000637285,0.000637285,0.000637285
29,226.477,0.88333,0.66093,0.99767,0.77775,0.89126,0.85575,0.58605,1.21197,0.73847,1.2912,0.000636185,0.000636185,0.000636185
30,234.693,0.88296,0.63829,0.98824,0.92506,0.73098,0.80914,0.5752,1.18111,0.76837,1.23488,0.000635084,0.000635084,0.000635084
31,242.719,0.87634,0.61838,0.99857,0.89213,0.74249,0.79463,0.57442,1.2037,0.85394,1.25505,0.000633983,0.000633983,0.000633983
32,249.942,0.86134,0.62241,0.99332,0.94806,0.75043,0.803,0.56175,1.21873,0.80584,1.26615,0.000632883,0.000632883,0.000632883
33,257.453,0.86739,0.61308,0.98504,0.92764,0.72206,0.82821,0.56303,1.22847,0.83114,1.2624,0.000631782,0.000631782,0.000631782
34,265.044,0.85161,0.57109,0.97494,0.89879,0.7402,0.79262,0.54787,1.1646,0.78172,1.25196,0.000630682,0.000630682,0.000630682
35,272,0.85005,0.61897,0.98974,0.88769,0.76064,0.81689,0.56076,1.21444,0.76162,1.28088,0.000629581,0.000629581,0.000629581
36,278.976,0.84152,0.59178,0.97084,0.92395,0.73505,0.80771,0.56336,1.25527,0.71833,1.38752,0.000628481,0.000628481,0.000628481
37,286.091,0.83755,0.6022,1.00313,0.8693,0.7825,0.81508,0.58251,1.18739,0.70434,1.28064,0.00062738,0.00062738,0.00062738
38,293.519,0.81441,0.57456,0.95511,0.92943,0.68472,0.78421,0.57606,1.14431,0.86038,1.23328,0.00062628,0.00062628,0.00062628
39,300.592,0.81755,0.57971,0.97505,0.86538,0.77672,0.80125,0.58586,1.17545,0.81061,1.25334,0.000625179,0.000625179,0.000625179
40,307.659,0.78366,0.57222,0.96082,0.88124,0.76709,0.80238,0.58442,1.16714,0.74404,1.252,0.000624079,0.000624079,0.000624079
41,314.795,0.80871,0.57768,0.97365,0.93545,0.86574,0.91278,0.66132,1.12495,0.73115,1.20766,0.000622978,0.000622978,0.000622978
