epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2474,2.47441,5.62268,1.84835,0.00023,0.03463,0.00074,0.00021,1.9238,4.23292,1.48715,6.67e-05,6.67e-05,6.67e-05
2,12.8408,2.02428,5.02278,1.64457,0.00495,0.15584,0.00571,0.002,1.96203,4.18132,1.38035,0.000139839,0.000139839,0.000139839
3,15.2584,1.75087,4.89487,1.37942,0.00692,0.20906,0.03629,0.01467,1.73048,4.11628,1.19106,0.000212736,0.000212736,0.000212736
4,17.546,1.69881,4.65427,1.31028,0.00436,0.26812,0.05955,0.02759,1.77174,3.97051,1.18617,0.00028539,0.00028539,0.00028539
5,19.9668,1.69104,4.19043,1.2804,0.00397,0.26416,0.08309,0.03939,1.90972,3.83681,1.26532,0.000357803,0.000357803,0.000357803
6,22.325,1.60298,3.77359,1.26336,0.9585,0.00791,0.10272,0.04551,1.8482,3.68045,1.29103,0.000429973,0.000429973,0.000429973
7,24.7328,1.5805,3.71768,1.23412,0.92636,0.05929,0.08426,0.05037,1.58572,3.46739,1.19469,0.000501901,0.000501901,0.000501901
8,27.7675,1.62265,3.54083,1.25031,0.85588,0.08835,0.17131,0.08464,1.75347,3.06476,1.27005,0.000573588,0.000573588,0.000573588
9,30.4263,1.57772,3.07011,1.24765,0.83564,0.13352,0.25403,0.14323,1.64561,2.68239,1.29173,0.000645032,0.000645032,0.000645032
10,32.8828,1.52116,2.95487,1.21813,0.56962,0.21013,0.28425,0.16689,1.67119,2.58278,1.25788,0.000657095,0.000657095,0.000657095
11,35.1261,1.52037,3.09382,1.195,0.65233,0.32666,0.35339,0.20654,1.6044,2.26608,1.25061,0.000655994,0.000655994,0.000655994
12,37.264,1.49417,2.70897,1.18858,0.61571,0.38262,0.37708,0.2151,1.6836,2.2642,1.32222,0.000654894,0.000654894,0.000654894
13,39.5415,1.46411,2.57898,1.17093,0.70367,0.33177,0.40532,0.22402,1.6518,2.11931,1.30683,0.000653793,0.000653793,0.000653793
14,41.983,1.46082,2.66862,1.23872,0.37746,0.43167,0.4366,0.27154,1.56353,2.10435,1.27571,0.000652693,0.000652693,0.000652693
15,44.3739,1.5155,2.44324,1.19428,0.36396,0.50353,0.44645,0.284,1.53518,2.17709,1.27001,0.000651592,0.000651592,0.000651592
16,46.6529,1.42682,2.38102,1.18904,0.41205,0.52913,0.44297,0.27987,1.48693,2.11061,1.26897,0.000650492,0.000650492,0.000650492
17,49.048,1.41799,2.39181,1.14938,0.59593,0.47197,0.45593,0.29443,1.53204,1.82247,1.2282,0.000649391,0.000649391,0.000649391
18,51.3433,1.33895,2.17752,1.13565,0.59757,0.42595,0.47594,0.29803,1.48817,1.78855,1.25704,0.000648291,0.000648291,0.000648291
19,53.4572,1.27312,2.05236,1.12025,0.7127,0.42605,0.45807,0.28452,1.44747,1.86168,1.26507,0.00064719,0.00064719,0.00064719
20,55.5585,1.35791,2.11438,1.14808,0.6243,0.51815,0.49357,0.31093,1.46904,1.77518,1.29276,0.00064609,0.00064609,0.00064609
21,57.6194,1.30357,2.07735,1.12176,0.5748,0.52534,0.53271,0.34487,1.42503,1.77297,1.27235,0.000644989,0.000644989,0.000644989
22,59.7232,1.29365,2.05081,1.12039,0.71139,0.51516,0.54314,0.36563,1.29727,1.50872,1.18246,0.000643888,0.000643888,0.000643888
23,61.8675,1.30918,1.95456,1.13378,0.69698,0.60231,0.55009,0.36468,1.39976,1.53348,1.20458,0.000642788,0.000642788,0.000642788
24,63.9937,1.30353,1.9692,1.12007,0.72765,0.5634,0.56248,0.38168,1.34693,1.67311,1.20273,0.000641687,0.000641687,0.000641687
25,66.0813,1.2835,1.83396,1.0861,0.81928,0.5063,0.59914,0.40145,1.37543,1.56176,1.2084,0.000640587,0.000640587,0.000640587
26,68.1862,1.24519,1.89063,1.10753,0.89163,0.547,0.64412,0.40272,1.416,1.42685,1.2269,0.000639486,0.000639486,0.000639486
27,70.2992,1.27104,1.80836,1.09239,0.80459,0.61553,0.68025,0.45353,1.35812,1.3654,1.21456,0.000638386,0.000638386,0.000638386
28,72.381,1.17257,1.73646,1.0663,0.8485,0.56913,0.64581,0.41336,1.39122,1.56228,1.2232,0.000637285,0.000637285,0.000637285
29,74.4838,1.21754,1.66687,1.08048,0.86661,0.5697,0.65304,0.43227,1.4156,1.52893,1.23608,0.000636185,0.000636185,0.000636185
30,76.579,1.20377,1.647,1.08634,0.81119,0.62398,0.6655,0.44032,1.33275,1.24137,1.18621,0.000635084,0.000635084,0.000635084
31,78.6861,1.20869,1.57335,1.08008,0.85746,0.6475,0.69247,0.48908,1.29283,1.27727,1.16858,0.000633983,0.000633983,0.000633983
