epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3761,2.38209,9.99668,1.82151,0.00393,0.10193,0.00509,0.00198,2.08788,10.4616,1.63767,9.375e-05,9.375e-05,9.375e-05
2,16.1308,1.83951,5.38727,1.47301,0.47515,0.0314,0.06506,0.03392,1.80453,20.8811,1.45994,0.00019343,0.00019343,0.00019343
3,21.3044,1.61346,3.70177,1.36601,0.67222,0.36911,0.3544,0.20026,1.75078,6.65266,1.49141,0.000292781,0.000292781,0.000292781
4,26.2816,1.50091,2.73394,1.3002,0.76738,0.3855,0.44818,0.27575,1.55141,3.41647,1.26403,0.000391801,0.000391801,0.000391801
5,31.112,1.45938,2.32147,1.24196,0.8654,0.39957,0.61859,0.35866,1.52139,2.72444,1.26975,0.000490491,0.000490491,0.000490491
6,35.8854,1.41185,1.96114,1.2216,0.7063,0.56661,0.65336,0.38962,1.44265,1.86639,1.2411,0.000588852,0.000588852,0.000588852
7,40.6269,1.38716,1.82812,1.26313,0.89121,0.46289,0.68947,0.40144,1.53754,2.11181,1.39604,0.000618813,0.000618813,0.000618813
8,45.3233,1.34726,1.66513,1.20107,0.76465,0.64848,0.75632,0.46049,1.34324,1.46873,1.27142,0.000617781,0.000617781,0.000617781
9,49.9701,1.3187,1.50015,1.18565,0.78689,0.63771,0.75059,0.4188,1.41085,1.40728,1.25432,0.00061675,0.00061675,0.00061675
10,54.6385,1.28282,1.40038,1.16825,0.82909,0.74489,0.80168,0.49827,1.33083,1.21916,1.24541,0.000615719,0.000615719,0.000615719
11,59.3768,1.34783,1.40734,1.22989,0.81841,0.72267,0.83859,0.53164,1.33645,1.18385,1.2642,0.000614687,0.000614687,0.000614687
12,64.0413,1.25836,1.27289,1.16528,0.87959,0.75558,0.81438,0.52249,1.31755,1.20342,1.27503,0.000613656,0.000613656,0.000613656
13,68.6215,1.26554,1.22669,1.14195,0.9114,0.73201,0.83634,0.56732,1.26397,0.999,1.2248,0.000612625,0.000612625,0.000612625
14,73.2683,1.29735,1.23871,1.14652,0.94859,0.75926,0.83633,0.5474,1.2755,0.97802,1.20763,0.000611594,0.000611594,0.000611594
15,77.8615,1.27349,1.16242,1.16344,0.88404,0.73564,0.81945,0.54223,1.26489,1.06675,1.1611,0.000610562,0.000610562,0.000610562
16,82.4657,1.21471,1.09788,1.12928,0.79528,0.7345,0.81257,0.52583,1.40495,1.14216,1.25463,0.000609531,0.000609531,0.000609531
17,86.9893,1.20961,1.0349,1.0905,0.9076,0.78786,0.85885,0.5677,1.30794,0.93388,1.24164,0.0006085,0.0006085,0.0006085
18,91.7305,1.18939,1.03586,1.09797,0.84663,0.79409,0.82886,0.55171,1.29551,0.94866,1.20929,0.000607469,0.000607469,0.000607469
