epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,118.837,1.09887,1.2794,1.16498,0.89072,0.3631,0.40356,0.33116,1.13085,13.1021,1.08519,0.000996313,0.000996313,0.000996313
43,121.134,1.05627,1.30266,1.1914,0.90167,0.36074,0.42859,0.36111,1.19759,11.8425,1.13721,0.000990125,0.000990125,0.000990125
44,123.637,1.05522,1.0783,1.16446,0.95239,0.46775,0.55797,0.43591,1.1413,2.84536,1.13457,0.000983938,0.000983938,0.000983938
45,125.657,1.00504,0.93541,1.08822,0.80273,0.77924,0.84882,0.57512,0.93173,1.0163,1.05753,0.00097775,0.00097775,0.00097775
46,127.79,1.01652,1.18892,1.17583,0.85161,0.81367,0.92317,0.60105,0.95506,0.85247,1.07332,0.000971562,0.000971562,0.000971562
47,129.88,0.99703,1.07108,1.09732,0.69471,0.80051,0.76767,0.55869,1.04602,0.89223,1.15088,0.000965375,0.000965375,0.000965375
48,131.937,1.03626,1.1098,1.21888,0.71389,0.78571,0.81956,0.5728,1.00915,0.8562,1.11652,0.000959187,0.000959187,0.000959187
49,134.242,0.99905,1.04701,1.14872,0.86752,0.8886,0.92714,0.65877,0.92516,0.78986,1.05315,0.000953,0.000953,0.000953
50,136.86,0.95049,1.00079,1.09484,0.85834,0.90016,0.93173,0.6832,0.89798,0.7457,1.03064,0.000946812,0.000946812,0.000946812
51,139.05,1.04716,1.19399,1.25136,0.86762,0.89258,0.92171,0.70176,0.83898,0.82296,0.9846,0.000940625,0.000940625,0.000940625
52,141.201,1.00836,1.06458,1.11925,0.90499,0.75,0.87694,0.61924,0.97527,0.89199,1.03372,0.000934438,0.000934438,0.000934438
53,143.245,0.9921,1.0258,1.1983,0.70805,0.75,0.77898,0.56657,0.9817,0.86287,1.01662,0.00092825,0.00092825,0.00092825
54,145.31,0.95942,1.05519,1.13414,0.61839,0.71772,0.69662,0.54871,0.9375,0.93894,1.00189,0.000922063,0.000922063,0.000922063
55,148.045,0.92159,0.97523,1.15242,0.62605,0.79167,0.694,0.55292,0.86538,1.02174,0.99993,0.000915875,0.000915875,0.000915875
56,150.277,0.9635,0.89902,1.15631,0.70871,0.81882,0.71326,0.54425,0.86604,1.09499,1.01938,0.000909688,0.000909688,0.000909688
57,152.299,0.91242,0.95641,1.06314,0.58896,0.86905,0.75393,0.53483,1.02303,1.04953,1.06649,0.0009035,0.0009035,0.0009035
58,154.325,0.95374,0.96327,1.13427,0.64774,0.56999,0.67995,0.48299,1.05755,1.13587,1.05169,0.000897313,0.000897313,0.000897313
59,156.32,0.89246,0.88808,1.09197,0.64125,0.6703,0.65955,0.50555,0.98765,1.16645,1.00789,0.000891125,0.000891125,0.000891125
60,158.355,0.93045,0.98723,1.13573,0.72888,0.65277,0.64581,0.50686,0.98038,1.28466,1.05074,0.000884938,0.000884938,0.000884938
61,161.131,0.88225,0.90927,1.12706,0.74364,0.65007,0.63993,0.52965,0.87968,1.15204,1.01938,0.00087875,0.00087875,0.00087875
62,163.32,0.85136,0.88494,1.07739,0.64124,0.58612,0.63082,0.54105,0.88891,1.16739,1.0306,0.000872563,0.000872563,0.000872563
63,165.381,0.92951,0.93671,1.10244,0.63036,0.52026,0.65337,0.55016,0.86516,1.13917,1.00944,0.000866375,0.000866375,0.000866375
64,167.439,0.93706,1.00509,1.16177,0.73254,0.69643,0.7084,0.55665,0.85221,1.05356,0.95883,0.000860188,0.000860188,0.000860188
65,169.565,0.84315,0.85508,1.06642,0.77631,0.65063,0.71144,0.53365,0.82621,1.19886,0.95107,0.000854,0.000854,0.000854
66,171.657,0.85306,0.94656,1.09877,0.63524,0.65476,0.69027,0.56673,0.81596,1.37847,0.9848,0.000847813,0.000847813,0.000847813
67,174.365,0.78574,0.83417,1.0005,0.57734,0.72482,0.82064,0.64461,0.76714,1.21924,1.00098,0.000841625,0.000841625,0.000841625
68,176.412,0.78223,0.78003,1.07451,0.7861,0.75,0.82247,0.62369,0.83208,0.95629,1.04726,0.000835438,0.000835438,0.000835438
69,178.438,0.89568,0.94883,1.13039,0.86832,0.70833,0.80665,0.63195,0.83444,0.81861,1.04188,0.00082925,0.00082925,0.00082925
70,180.487,0.90866,0.92325,1.09351,0.8012,0.66667,0.7959,0.65049,0.76592,0.86846,0.98023,0.000823063,0.000823063,0.000823063
71,182.571,0.8571,0.89245,1.09055,0.78719,0.69658,0.8014,0.64041,0.7735,0.99871,0.98826,0.000816875,0.000816875,0.000816875
72,184.91,0.823,0.76999,1.05102,0.82427,0.75,0.80238,0.65935,0.72611,0.95531,0.96425,0.000810688,0.000810688,0.000810688
73,187.541,0.73666,0.72492,1.00685,0.90135,0.75,0.79992,0.67994,0.71045,0.89953,0.95079,0.0008045,0.0008045,0.0008045
74,189.524,0.78594,0.8067,1.04466,0.89007,0.74241,0.79245,0.66708,0.76048,0.93495,0.9484,0.000798313,0.000798313,0.000798313
75,191.562,0.85466,0.96043,1.12195,0.74476,0.81291,0.79461,0.66211,0.74654,0.87976,0.92953,0.000792125,0.000792125,0.000792125
76,193.643,0.86005,0.90993,1.12643,0.76843,0.75,0.79158,0.6706,0.73054,0.94829,0.9141,0.000785938,0.000785938,0.000785938
77,195.725,0.80623,0.81057,1.01436,0.62795,0.72765,0.80379,0.65516,0.79123,1.07169,0.93455,0.00077975,0.00077975,0.00077975
78,197.969,0.76805,0.69303,1.03536,0.61833,0.875,0.78602,0.62389,0.83988,1.04671,0.94627,0.000773563,0.000773563,0.000773563
79,200.663,0.88735,0.89469,1.11106,0.72214,0.77089,0.78868,0.6339,0.837,0.90774,0.96651,0.000767375,0.000767375,0.000767375
80,202.725,0.79925,0.81366,1.04976,0.66737,0.77164,0.77491,0.64251,0.78137,0.9904,0.96275,0.000761188,0.000761188,0.000761188
81,204.753,0.84644,0.83162,1.09451,0.77498,0.70098,0.78605,0.65915,0.78438,0.95831,0.95877,0.000755,0.000755,0.000755
82,206.878,0.8345,0.82093,1.1135,0.79853,0.6751,0.77834,0.63701,0.85805,1.04859,0.95717,0.000748813,0.000748813,0.000748813
83,208.923,0.78904,0.7739,0.98732,0.70247,0.83333,0.78882,0.633,0.86209,0.93613,0.95103,0.000742625,0.000742625,0.000742625
84,211.283,0.79615,0.81371,1.1034,0.86328,0.82678,0.81068,0.67754,0.79364,0.74166,0.9375,0.000736438,0.000736438,0.000736438
85,213.739,0.80557,0.79211,1.11218,0.86119,0.825,0.84323,0.70127,0.70716,0.64158,0.89706,0.00073025,0.00073025,0.00073025
86,215.737,0.71352,0.70669,1.03208,0.86206,0.83081,0.82876,0.68862,0.70232,0.65021,0.89988,0.000724062,0.000724062,0.000724062
87,217.797,0.71055,0.76456,1.00475,0.84164,0.81712,0.81245,0.69318,0.72801,0.7019,0.9217,0.000717875,0.000717875,0.000717875
88,219.838,0.72179,0.61171,0.98192,0.82687,0.81737,0.80867,0.68032,0.73578,0.76972,0.93032,0.000711687,0.000711687,0.000711687
89,221.859,0.89972,0.88104,1.12579,0.81984,0.81105,0.78006,0.65073,0.71084,0.86407,0.92949,0.0007055,0.0007055,0.0007055
90,224.27,0.84034,0.81389,1.0808,0.74249,0.80945,0.73553,0.62628,0.73487,0.93076,0.93963,0.000699312,0.000699312,0.000699312
91,226.648,0.86616,0.76034,1.1021,0.68084,0.81091,0.68915,0.59861,0.74282,1.18431,0.96194,0.000693125,0.000693125,0.000693125
92,228.697,0.77341,0.74066,1.09269,0.67363,0.81499,0.69164,0.62695,0.65321,1.11887,0.93056,0.000686937,0.000686937,0.000686937
93,230.744,0.79298,0.91713,1.0187,0.74622,0.82236,0.7811,0.66692,0.62632,0.88536,0.91575,0.00068075,0.00068075,0.00068075
94,232.75,0.74588,0.76207,1.04519,0.79686,0.82936,0.7495,0.65234,0.63157,0.83926,0.91814,0.000674562,0.000674562,0.000674562
95,234.787,0.76117,0.71121,1.04612,0.85286,0.83016,0.78338,0.67646,0.65923,0.75841,0.92284,0.000668375,0.000668375,0.000668375
96,237.385,0.78585,0.81768,1.06757,0.83075,0.82774,0.79669,0.69245,0.61924,0.78158,0.89735,0.000662188,0.000662188,0.000662188
97,239.718,0.66781,0.66368,0.99843,0.7185,0.87807,0.78469,0.6589,0.65831,0.79373,0.93053,0.000656,0.000656,0.000656
98,241.798,0.75921,0.75137,1.06407,0.79707,0.75,0.7647,0.64007,0.6781,0.76223,0.93934,0.000649813,0.000649813,0.000649813
99,243.844,0.76373,0.71471,1.03883,0.80007,0.75,0.78201,0.6599,0.68904,0.72641,0.93507,0.000643625,0.000643625,0.000643625
100,245.88,0.68818,0.66823,0.98826,0.71492,0.83333,0.78835,0.65258,0.64722,0.67859,0.91562,0.000637437,0.000637437,0.000637437
101,247.941,0.66097,0.66151,1.03345,0.73502,0.91667,0.85013,0.70786,0.61872,0.64151,0.90316,0.00063125,0.00063125,0.00063125
102,250.578,0.75242,0.70233,0.98441,0.78024,0.91667,0.85129,0.7211,0.6261,0.63074,0.89546,0.000625062,0.000625062,0.000625062
103,252.939,0.72657,0.76536,1.04343,0.82352,0.90596,0.85684,0.72853,0.64606,0.61269,0.8975,0.000618875,0.000618875,0.000618875
104,255.007,0.68924,0.64673,0.97077,0.8184,0.91667,0.85662,0.73273,0.64798,0.58392,0.90178,0.000612687,0.000612687,0.000612687
105,257.093,0.70629,0.69076,1.03064,0.86821,0.83333,0.83573,0.71273,0.65261,0.56451,0.90453,0.0006065,0.0006065,0.0006065
106,259.209,0.67274,0.61919,0.97437,0.86675,0.82647,0.82806,0.69097,0.6859,0.59343,0.90276,0.000600313,0.000600313,0.000600313
107,261.303,0.67821,0.71465,1.00419,0.96558,0.80729,0.84356,0.71967,0.71966,0.66001,0.9083,0.000594125,0.000594125,0.000594125
108,264.002,0.65719,0.62834,0.96677,0.9647,0.80833,0.83406,0.69165,0.70969,0.70533,0.89983,0.000587938,0.000587938,0.000587938
109,266.038,0.73078,0.78375,1.03567,0.96042,0.81305,0.83545,0.71231,0.68452,0.65926,0.8975,0.00058175,0.00058175,0.00058175
110,268.095,0.66746,0.67439,0.94358,0.9479,0.81889,0.84059,0.71858,0.62991,0.57504,0.88383,0.000575563,0.000575563,0.000575563
111,270.126,0.66511,0.63637,0.95588,0.93031,0.81907,0.8431,0.70419,0.64189,0.5781,0.8861,0.000569375,0.000569375,0.000569375
112,272.171,0.6896,0.61682,0.99326,0.83971,0.82418,0.8181,0.6839,0.72312,0.62223,0.91195,0.000563187,0.000563187,0.000563187
113,274.319,0.6471,0.57445,0.93037,0.84699,0.82379,0.81882,0.67011,0.73535,0.61408,0.91324,0.000557,0.000557,0.000557
114,276.948,0.73511,0.65145,0.97668,0.83681,0.83333,0.8262,0.6846,0.7249,0.6122,0.9156,0.000550813,0.000550813,0.000550813
115,279.015,0.6511,0.60378,0.95384,0.8046,0.83333,0.82437,0.69415,0.70897,0.62494,0.91071,0.000544625,0.000544625,0.000544625
116,281.063,0.63121,0.59558,0.97133,0.85147,0.78885,0.81505,0.68742,0.71133,0.67868,0.9137,0.000538438,0.000538438,0.000538438
117,283.079,0.64482,0.56404,1.01015,0.85527,0.7982,0.80859,0.67426,0.71253,0.69989,0.91147,0.00053225,0.00053225,0.00053225
118,285.101,0.6455,0.62168,0.99972,0.74171,0.82075,0.78676,0.67317,0.68616,0.73109,0.90685,0.000526063,0.000526063,0.000526063
119,287.241,0.71679,0.65773,1.10511,0.7402,0.81686,0.78326,0.66974,0.68615,0.79214,0.90411,0.000519875,0.000519875,0.000519875
120,289.922,0.62509,0.59927,0.95736,0.76113,0.79167,0.78329,0.6708,0.69761,0.80753,0.91761,0.000513688,0.000513688,0.000513688
121,291.988,0.54412,0.54712,0.95178,0.86562,0.80499,0.80177,0.68612,0.70915,0.78067,0.93157,0.0005075,0.0005075,0.0005075
122,294.009,0.65089,0.69896,1.01205,0.85442,0.80577,0.8019,0.6838,0.6887,0.77625,0.91815,0.000501313,0.000501313,0.000501313
123,296.048,0.68317,0.67568,1.04283,0.85325,0.80629,0.80193,0.70398,0.64591,0.76165,0.90515,0.000495125,0.000495125,0.000495125
124,298.068,0.6086,0.53715,0.94589,0.85615,0.80664,0.80182,0.7086,0.62672,0.73911,0.89591,0.000488938,0.000488938,0.000488938
125,300.177,0.53654,0.52711,0.95051,0.85541,0.80806,0.77442,0.68498,0.66278,0.7523,0.89936,0.00048275,0.00048275,0.00048275
126,302.842,0.61459,0.63704,0.97013,0.8447,0.81082,0.77424,0.68219,0.66551,0.72126,0.89257,0.000476562,0.000476562,0.000476562
127,304.9,0.64397,0.68951,1.01687,0.83648,0.81324,0.77573,0.68426,0.63148,0.6675,0.88135,0.000470375,0.000470375,0.000470375
128,306.937,0.60347,0.59789,1.00953,0.83105,0.8209,0.77617,0.69405,0.56007,0.63634,0.87558,0.000464188,0.000464188,0.000464188
129,308.972,0.60363,0.60463,0.95444,0.82968,0.82228,0.77826,0.69343,0.53018,0.57099,0.85826,0.000458,0.000458,0.000458
130,311.002,0.62911,0.62664,1.02458,0.83195,0.82076,0.78054,0.69054,0.53563,0.55918,0.85104,0.000451813,0.000451813,0.000451813
131,313.114,0.61095,0.58597,0.96015,0.84383,0.81449,0.8127,0.6958,0.56812,0.59611,0.85508,0.000445625,0.000445625,0.000445625
132,315.754,0.61969,0.57943,0.96317,0.85528,0.80786,0.82123,0.70568,0.61496,0.5944,0.85341,0.000439437,0.000439437,0.000439437
133,317.826,0.60633,0.52664,0.93659,0.85242,0.79167,0.83778,0.7252,0.6387,0.61789,0.86589,0.00043325,0.00043325,0.00043325
134,319.942,0.65776,0.6348,1.03123,0.85823,0.79167,0.86516,0.75343,0.63581,0.62101,0.87865,0.000427062,0.000427062,0.000427062
135,322.08,0.54659,0.50886,0.90661,0.86354,0.8069,0.87463,0.74984,0.65953,0.62482,0.89741,0.000420875,0.000420875,0.000420875
136,324.097,0.6752,0.67825,1.01576,0.86268,0.81594,0.85184,0.73299,0.65283,0.63823,0.89885,0.000414688,0.000414688,0.000414688
137,326.28,0.61048,0.60242,0.98737,0.86218,0.82935,0.83494,0.71104,0.66067,0.6386,0.91055,0.0004085,0.0004085,0.0004085
138,328.896,0.59287,0.59914,0.95518,0.86109,0.83333,0.81629,0.70809,0.65693,0.64842,0.91812,0.000402312,0.000402312,0.000402312
139,330.937,0.53072,0.48879,0.8871,0.86033,0.83333,0.81163,0.70958,0.64067,0.62945,0.91165,0.000396125,0.000396125,0.000396125
140,333.023,0.56262,0.54458,0.98567,0.86087,0.83333,0.80825,0.6955,0.63351,0.63354,0.90558,0.000389938,0.000389938,0.000389938
141,335.095,0.53603,0.51345,0.93734,0.86371,0.83333,0.80611,0.70211,0.62309,0.64937,0.8936,0.00038375,0.00038375,0.00038375
142,337.175,0.5381,0.49474,0.93124,0.86407,0.83333,0.80582,0.70976,0.63769,0.69334,0.90006,0.000377563,0.000377563,0.000377563
143,339.466,0.56216,0.54574,0.89316,0.86292,0.83333,0.807,0.70308,0.61596,0.66342,0.89376,0.000371375,0.000371375,0.000371375
144,341.929,0.55801,0.52658,0.93615,0.86447,0.83333,0.80862,0.69858,0.61057,0.64439,0.88763,0.000365188,0.000365188,0.000365188
145,344.015,0.51155,0.49077,0.89183,0.86579,0.83333,0.8118,0.70137,0.59254,0.62279,0.88517,0.000359,0.000359,0.000359
146,346.073,0.63018,0.62776,1.0012,0.86602,0.83333,0.81139,0.70595,0.57211,0.6461,0.88539,0.000352812,0.000352812,0.000352812
147,348.182,0.62218,0.5631,0.9808,0.86632,0.83253,0.81184,0.71206,0.56022,0.66934,0.88677,0.000346625,0.000346625,0.000346625
148,350.274,0.6104,0.58384,0.94164,0.86527,0.82312,0.81028,0.70446,0.53346,0.62652,0.87154,0.000340438,0.000340438,0.000340438
149,352.724,0.58432,0.59219,0.94159,0.86472,0.82049,0.80964,0.71703,0.51543,0.61401,0.8646,0.00033425,0.00033425,0.00033425
150,355.139,0.598,0.53037,0.98995,0.86348,0.82114,0.80856,0.72161,0.51688,0.637,0.85977,0.000328063,0.000328063,0.000328063
151,357.227,0.56137,0.56131,0.97097,0.8621,0.8237,0.80707,0.72927,0.522,0.66737,0.85725,0.000321875,0.000321875,0.000321875
152,359.318,0.57521,0.54889,0.97133,0.86028,0.82746,0.80571,0.71916,0.52984,0.6942,0.85741,0.000315687,0.000315687,0.000315687
153,361.374,0.52061,0.48028,0.90195,0.86416,0.83323,0.80539,0.71091,0.54888,0.71334,0.86456,0.0003095,0.0003095,0.0003095
154,363.428,0.48184,0.45514,0.90178,0.86615,0.83333,0.807,0.71199,0.56162,0.70799,0.87442,0.000303313,0.000303313,0.000303313
155,366.072,0.61737,0.61445,0.99686,0.86619,0.8326,0.8082,0.70567,0.55584,0.68865,0.87425,0.000297125,0.000297125,0.000297125
156,368.375,0.523,0.51147,0.93014,0.86795,0.83333,0.80882,0.71261,0.54613,0.64062,0.87764,0.000290937,0.000290937,0.000290937
157,370.428,0.54266,0.50931,0.95934,0.8687,0.83333,0.80901,0.71356,0.54888,0.63172,0.87559,0.00028475,0.00028475,0.00028475
