epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,167.94,0.99165,0.81102,1.02708,0.87685,0.74399,0.77852,0.55542,1.18899,0.74931,1.23749,0.000582719,0.000582719,0.000582719
43,171.454,0.99412,0.76983,1.0139,0.88117,0.76589,0.78253,0.55052,1.18668,0.83109,1.22865,0.000581687,0.000581687,0.000581687
44,175.005,0.99733,0.76436,1.01791,0.8521,0.74125,0.77475,0.53349,1.20529,0.77753,1.2472,0.000580656,0.000580656,0.000580656
45,178.559,1.01502,0.73211,1.04464,0.93049,0.73525,0.81665,0.55349,1.21169,0.71564,1.23187,0.000579625,0.000579625,0.000579625
46,182.086,0.99625,0.73415,1.01516,0.8437,0.78748,0.79979,0.55347,1.20227,0.83482,1.22215,0.000578594,0.000578594,0.000578594
47,185.616,0.98983,0.72391,1.03476,0.90363,0.77011,0.80363,0.54869,1.23008,0.82532,1.20605,0.000577563,0.000577563,0.000577563
48,189.151,0.98812,0.7673,1.02364,0.93129,0.74923,0.80983,0.55455,1.17054,0.72166,1.1898,0.000576531,0.000576531,0.000576531
49,192.693,0.97614,0.71526,1.01661,0.92506,0.75933,0.82025,0.5719,1.15444,0.76001,1.20233,0.0005755,0.0005755,0.0005755
50,196.267,0.95916,0.70387,1.02793,0.94756,0.73979,0.82778,0.56494,1.18326,0.7282,1.19953,0.000574469,0.000574469,0.000574469
51,199.852,0.94629,0.69008,1.00672,0.76706,0.8613,0.84168,0.59059,1.22273,0.71559,1.22708,0.000573438,0.000573438,0.000573438
52,203.539,0.96111,0.72179,1.02004,0.92932,0.75531,0.83461,0.57547,1.20799,0.72464,1.21346,0.000572406,0.000572406,0.000572406
53,207.077,0.96255,0.70742,1.0242,0.92383,0.73076,0.84748,0.57349,1.19228,0.71909,1.20981,0.000571375,0.000571375,0.000571375
54,210.67,0.96556,0.71346,1.00728,0.92556,0.74477,0.81643,0.53314,1.25862,0.73363,1.23712,0.000570344,0.000570344,0.000570344
55,214.22,0.91967,0.67354,1.00708,0.92567,0.71862,0.81659,0.56144,1.11042,0.71811,1.16588,0.000569313,0.000569313,0.000569313
56,217.786,0.94332,0.68974,0.99755,0.83947,0.73668,0.81533,0.58596,1.13555,0.71161,1.19306,0.000568281,0.000568281,0.000568281
57,221.351,0.92253,0.69023,1.00557,0.77873,0.79873,0.81982,0.59214,1.12598,0.81633,1.20458,0.00056725,0.00056725,0.00056725
58,224.942,0.90306,0.72817,1.00512,0.87037,0.7266,0.78476,0.56576,1.15118,0.82414,1.2103,0.000566219,0.000566219,0.000566219
59,228.521,0.91862,0.7035,1.03047,0.93702,0.73152,0.80987,0.56755,1.15851,0.74053,1.18211,0.000565188,0.000565188,0.000565188
60,232.126,0.9197,0.68241,1.00555,0.8755,0.76115,0.82199,0.58896,1.13816,0.70887,1.19972,0.000564156,0.000564156,0.000564156
61,235.82,0.89855,0.66154,0.97134,0.83827,0.74933,0.83007,0.58189,1.14812,0.74233,1.2041,0.000563125,0.000563125,0.000563125
62,239.462,0.87835,0.66614,0.99533,0.92543,0.75468,0.83231,0.57952,1.12955,0.6643,1.20181,0.000562094,0.000562094,0.000562094
63,243.001,0.89568,0.67221,0.98872,0.96418,0.74321,0.80888,0.54741,1.15816,0.7102,1.21285,0.000561063,0.000561063,0.000561063
64,246.651,0.88837,0.65576,0.9996,0.94511,0.72224,0.789,0.57261,1.13023,0.76791,1.19256,0.000560031,0.000560031,0.000560031
65,250.167,0.86409,0.65347,0.96654,0.92522,0.74939,0.8,0.58027,1.13821,0.72195,1.21892,0.000559,0.000559,0.000559
66,253.871,0.86517,0.6437,0.96688,0.95989,0.74674,0.80086,0.55873,1.17967,0.70379,1.26064,0.000557969,0.000557969,0.000557969
67,257.476,0.87512,0.66307,0.98146,0.92779,0.74874,0.79292,0.54454,1.22274,0.81522,1.2814,0.000556938,0.000556938,0.000556938
68,261.108,0.89661,0.65935,1.00099,0.90757,0.7713,0.84014,0.58299,1.16688,0.75049,1.21395,0.000555906,0.000555906,0.000555906
