epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,479.406,0.73571,0.51051,0.91578,0.93445,0.82651,0.9096,0.66775,1.11745,0.62143,1.16342,0.000582719,0.000582719,0.000582719
43,489.963,0.76268,0.52056,0.92299,0.94663,0.84878,0.90318,0.66751,1.12126,0.60027,1.16842,0.000581687,0.000581687,0.000581687
44,500.867,0.74561,0.5128,0.92067,0.91188,0.86292,0.90446,0.67167,1.09837,0.62741,1.11901,0.000580656,0.000580656,0.000580656
45,511.356,0.74848,0.5017,0.92295,0.91234,0.86365,0.90388,0.66437,1.1417,0.59636,1.1677,0.000579625,0.000579625,0.000579625
46,521.928,0.76763,0.51944,0.94035,0.95344,0.85241,0.90199,0.6603,1.14032,0.562,1.14379,0.000578594,0.000578594,0.000578594
47,532.67,0.72547,0.48694,0.91456,0.91898,0.87651,0.90671,0.69033,1.03745,0.56666,1.12662,0.000577563,0.000577563,0.000577563
48,543.446,0.71631,0.4918,0.91467,0.93174,0.83486,0.87815,0.67648,0.96509,0.59035,1.09097,0.000576531,0.000576531,0.000576531
49,553.714,0.72936,0.48725,0.92024,0.91926,0.85333,0.90317,0.65399,1.13162,0.58318,1.2548,0.0005755,0.0005755,0.0005755
50,563.866,0.72004,0.48097,0.91699,0.93209,0.79258,0.88552,0.65047,1.08834,0.63064,1.20821,0.000574469,0.000574469,0.000574469
51,573.93,0.71272,0.48502,0.91021,0.9356,0.85345,0.90431,0.67829,1.07748,0.57693,1.13977,0.000573438,0.000573438,0.000573438
52,583.954,0.71414,0.48801,0.91105,0.93962,0.84168,0.90113,0.68532,1.08949,0.58991,1.15599,0.000572406,0.000572406,0.000572406
53,594.047,0.72163,0.48589,0.91512,0.94766,0.85106,0.92146,0.68498,1.05153,0.55003,1.11661,0.000571375,0.000571375,0.000571375
54,604.011,0.70059,0.47161,0.89882,0.94201,0.86795,0.93123,0.70147,1.07855,0.55,1.15425,0.000570344,0.000570344,0.000570344
55,614.184,0.69832,0.46778,0.90506,0.93487,0.85945,0.91579,0.68984,1.10718,0.59206,1.17104,0.000569313,0.000569313,0.000569313
