epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,106.839,0.88609,0.78274,1.03214,0.4375,0.44048,0.11621,0.09857,1.20765,10.3227,1.45743,0.00144145,0.00144145,0.00144145
43,108.6,0.77319,0.64783,0.885,0.41427,0.44048,0.08744,0.07827,1.25631,43.9934,1.59656,0.00143595,0.00143595,0.00143595
44,110.543,0.84839,0.72767,0.94501,0.4761,0.08333,0.0858,0.07701,1.42387,119.367,1.86312,0.00143045,0.00143045,0.00143045
45,112.695,0.88334,0.71522,0.98072,0.4761,0.08333,0.0858,0.07701,1.42387,119.367,1.86312,0.00142495,0.00142495,0.00142495
46,114.407,0.87822,0.91037,0.99941,0.48207,0.16667,0.17181,0.11317,1.38072,60.4094,1.88974,0.00141945,0.00141945,0.00141945
47,116.141,0.90642,0.68724,1.02929,0.49214,0.45238,0.19296,0.11794,1.21368,24.8896,1.39647,0.00141395,0.00141395,0.00141395
48,117.866,0.89995,0.76223,0.98382,0.49897,0.60714,0.26202,0.18263,1.05414,18.9094,1.24169,0.00140845,0.00140845,0.00140845
49,119.626,0.84124,0.68407,1.01012,0.49897,0.60714,0.26202,0.18263,1.05414,18.9094,1.24169,0.00140295,0.00140295,0.00140295
50,121.356,0.85448,0.78845,0.96005,0.51306,0.84524,0.43795,0.29607,1.00321,11.0447,1.21847,0.00139745,0.00139745,0.00139745
51,123.433,0.77577,0.62586,0.93661,0.61707,0.77381,0.64496,0.40924,1.09224,2.30419,1.26047,0.00139195,0.00139195,0.00139195
52,125.529,0.74507,0.6921,0.9518,0.85014,0.8519,0.8841,0.64451,1.06422,1.10086,1.2531,0.00138644,0.00138644,0.00138644
53,127.276,0.84922,0.76838,1.05476,0.85014,0.8519,0.8841,0.64451,1.06422,1.10086,1.2531,0.00138094,0.00138094,0.00138094
54,129.09,0.77831,0.68845,0.98561,0.84249,0.91667,0.90641,0.68644,0.99316,1.01592,1.22295,0.00137544,0.00137544,0.00137544
55,130.961,0.76906,0.6702,0.98736,0.86541,0.91667,0.88679,0.66035,1.03675,1.27376,1.2629,0.00136994,0.00136994,0.00136994
56,132.67,0.8493,0.71887,0.99054,0.978,0.8762,0.91512,0.69202,0.93888,1.14854,1.19559,0.00136444,0.00136444,0.00136444
57,134.428,0.73346,0.57922,0.91134,0.978,0.8762,0.91512,0.69202,0.93888,1.14854,1.19559,0.00135894,0.00135894,0.00135894
58,137.612,0.79571,0.65678,0.95825,0.87407,0.86798,0.91513,0.67301,0.92804,1.18619,1.21091,0.00135344,0.00135344,0.00135344
59,139.331,0.75079,0.61868,0.95865,0.87464,0.89887,0.91513,0.6858,0.90513,1.36825,1.18628,0.00134794,0.00134794,0.00134794
