epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.38351,2.49835,5.38523,1.8847,0.01698,0.04264,0.01063,0.00529,2.00156,4.09844,1.68514,5.336e-05,5.336e-05,5.336e-05
2,9.10605,2.05937,5.06013,1.67515,0.00251,0.07857,0.00291,0.00057,1.91453,3.99403,1.42874,0.000113165,0.000113165,0.000113165
3,10.7765,1.78417,4.81142,1.48768,0.02594,0.19697,0.02056,0.00765,2.00016,4.0024,1.38277,0.000172733,0.000172733,0.000172733
4,12.3983,1.71584,4.62492,1.37987,0.00816,0.2803,0.04189,0.01625,1.9756,3.9117,1.39481,0.000232063,0.000232063,0.000232063
5,14.0291,1.66255,4.30317,1.29613,0.00601,0.28734,0.11819,0.0582,1.58672,3.65672,1.27629,0.000291156,0.000291156,0.000291156
6,15.671,1.66272,3.91584,1.30009,0.95306,0.03182,0.13449,0.06321,1.7493,3.4856,1.28662,0.00035001,0.00035001,0.00035001
7,17.2768,1.65294,3.70417,1.2408,0.00656,0.32186,0.14824,0.07099,1.71368,3.45141,1.30333,0.000408627,0.000408627,0.000408627
8,18.8587,1.60326,3.53662,1.26784,0.00847,0.35703,0.16,0.07393,1.86454,3.51071,1.4079,0.000467006,0.000467006,0.000467006
9,20.476,1.61019,3.22763,1.24866,0.87578,0.08684,0.18079,0.10167,1.77217,3.14946,1.37404,0.000525148,0.000525148,0.000525148
10,22.1832,1.51894,3.02189,1.20982,0.64784,0.1385,0.21923,0.12106,1.78931,2.82289,1.37817,0.000583052,0.000583052,0.000583052
11,24.2035,1.56335,2.93501,1.25055,0.79417,0.15829,0.22928,0.12486,1.85367,3.00299,1.4721,0.000640718,0.000640718,0.000640718
12,26.218,1.61956,2.76446,1.25054,0.62804,0.17329,0.24535,0.14501,1.71026,2.8214,1.40199,0.000652473,0.000652473,0.000652473
13,28.3103,1.59585,2.9023,1.29282,0.74913,0.30553,0.27628,0.17533,1.62953,2.66115,1.32753,0.000651152,0.000651152,0.000651152
14,30.4201,1.55907,2.76993,1.2534,0.72687,0.25338,0.26,0.15483,1.62598,2.64908,1.33603,0.000649831,0.000649831,0.000649831
15,32.6009,1.52914,2.67131,1.19528,0.63143,0.35634,0.34645,0.19924,1.63898,2.37449,1.34704,0.000648511,0.000648511,0.000648511
16,34.9086,1.51481,2.50743,1.20297,0.69467,0.37301,0.39164,0.23719,1.74069,2.19274,1.40771,0.00064719,0.00064719,0.00064719
17,37.2176,1.43841,2.40809,1.1766,0.67377,0.37522,0.40652,0.24179,1.70653,1.95605,1.42057,0.000645869,0.000645869,0.000645869
18,39.4784,1.44147,2.41657,1.17762,0.5944,0.40883,0.42256,0.24692,1.65317,1.90667,1.38973,0.000644549,0.000644549,0.000644549
19,41.7906,1.40871,2.26938,1.14165,0.63016,0.43709,0.3971,0.25489,1.60158,2.04218,1.32927,0.000643228,0.000643228,0.000643228
20,44.2343,1.42723,2.24811,1.18062,0.60508,0.48342,0.40678,0.26177,1.56387,2.11657,1.3463,0.000641907,0.000641907,0.000641907
21,46.6041,1.33892,2.17479,1.14546,0.62343,0.5543,0.47174,0.28704,1.60689,2.09783,1.36778,0.000640587,0.000640587,0.000640587
22,48.9853,1.38682,2.2232,1.14568,0.68516,0.45728,0.5277,0.32683,1.65229,1.96083,1.39424,0.000639266,0.000639266,0.000639266
23,51.3857,1.32824,2.00753,1.1563,0.83393,0.37803,0.52951,0.333,1.66761,1.84882,1.41181,0.000637945,0.000637945,0.000637945
24,53.8501,1.25255,1.98259,1.10375,0.58086,0.52418,0.53558,0.33579,1.6365,1.80814,1.43101,0.000636625,0.000636625,0.000636625
25,56.3296,1.31022,2.03266,1.13684,0.5998,0.52361,0.51465,0.33091,1.60744,1.79958,1.42125,0.000635304,0.000635304,0.000635304
